Runda,Data,N1,N2,N3,N4,N5,N6,,,,,,,
Tragerea #1222,2013-07-18,38,20,25,40,4,3,,,,,,,
Tragerea #1223,2013-07-21,22,29,11,9,2,39,,,,,,,
Tragerea #1224,2013-07-25,15,7,6,24,34,28,,,,,,,
Tragerea #1225,2013-07-28,41,11,9,45,42,19,,,,,,,
Tragerea #1226,2013-08-01,41,12,46,15,40,37,,,,,,,
Tragerea #1227,2013-08-04,7,4,10,32,46,45,,,,,,,
Tragerea #1228,2013-08-08,17,5,25,20,43,23,,,,,,,
Tragerea #1229,2013-08-11,13,21,49,3,40,43,,,,,,,
Tragerea #1230,2013-08-15,23,46,18,17,47,15,,,,,,,
Tragerea #1231,2013-08-18,43,23,25,3,22,17,,,,,,,
Tragerea #1232,2013-08-22,15,32,21,7,23,40,,,,,,,
Tragerea #1233,2013-08-25,28,30,49,29,34,25,,,,,,,
Tragerea #1234,2013-08-29,8,5,36,3,2,41,,,,,,,
Tragerea #1235,2013-09-01,26,44,7,16,25,11,,,,,,,
Tragerea #1236,2013-09-05,41,10,28,36,27,16,,,,,,,
Tragerea #1237,2013-09-08,6,26,13,24,47,34,,,,,,,
Tragerea #1238,2013-09-15,44,2,24,15,48,33,,,,,,,
Tragerea #1239,2013-09-15,15,39,44,36,19,33,,,,,,,
Tragerea #1240,2013-09-19,33,32,37,41,8,45,,,,,,,
Tragerea #1241,2013-09-22,4,46,28,30,49,17,,,,,,,
Tragerea #1242,2013-09-26,14,49,36,11,35,8,,,,,,,
Tragerea #1243,2013-09-29,7,31,35,12,48,44,,,,,,,
Tragerea #1244,2013-10-03,21,41,15,1,37,34,,,,,,,
Tragerea #1245,2013-10-06,25,36,29,49,47,31,,,,,,,
Tragerea #1246,2013-10-10,35,10,3,33,48,34,,,,,,,
Tragerea #1247,2013-10-13,17,13,35,9,30,39,,,,,,,
Tragerea #1248,2013-10-17,34,26,2,16,36,43,,,,,,,
Tragerea #1249,2013-10-20,40,19,11,37,20,6,,,,,,,
Tragerea #1250,2013-10-24,32,1,49,40,30,20,,,,,,,
Tragerea #1251,2013-10-27,41,36,10,20,17,12,,,,,,,
Tragerea #1252,2013-10-31,37,45,4,25,5,6,,,,,,,
Tragerea #1253,2013-11-03,39,32,49,24,25,15,,,,,,,
Tragerea #1254,2013-11-07,48,17,49,19,32,29,,,,,,,
Tragerea #1255,2013-11-10,25,46,15,4,7,22,,,,,,,
Tragerea #1256,2013-11-14,43,16,6,29,25,37,,,,,,,
Tragerea #1257,2013-11-17,36,44,28,23,25,21,,,,,,,
Tragerea #1258,2013-11-21,13,37,32,21,7,33,,,,,,,
Tragerea #1259,2013-11-24,1,40,42,47,25,35,,,,,,,
Tragerea #1260,2013-11-28,46,26,43,30,38,21,,,,,,,
Tragerea #1261,2013-12-01,26,48,8,2,39,25,,,,,,,
Tragerea #1262,2013-12-05,46,6,20,45,32,24,,,,,,,
Tragerea #1263,2013-12-08,32,40,22,14,9,18,,,,,,,
Tragerea #1264,2013-12-12,17,32,49,37,35,41,,,,,,,
Tragerea #1265,2013-12-15,8,34,9,35,18,40,,,,,,,
Tragerea #1266,2013-12-19,12,10,1,3,47,35,,,,,,,
Tragerea #1267,2013-12-22,3,45,22,48,10,13,,,,,,,
Tragerea #1268,2013-12-30,28,21,17,23,4,48,,,,,,,
Tragerea #1269,2013-12-30,11,34,30,3,9,5,,,,,,,
Tragerea #1270,2014-01-05,33,45,25,10,4,48,,,,,,,
Tragerea #1271,2014-01-09,2,33,26,24,12,16,,,,,,,
Tragerea #1272,2014-01-12,43,24,39,4,32,7,,,,,,,
Tragerea #1273,2014-01-16,1,45,43,48,9,21,,,,,,,
Tragerea #1274,2014-01-19,34,29,48,30,4,27,,,,,,,
Tragerea #1275,2014-01-23,28,29,18,4,17,16,,,,,,,
Tragerea #1276,2014-01-26,29,38,6,25,8,34,,,,,,,
Tragerea #1277,2014-01-30,6,37,29,32,18,42,,,,,,,
Tragerea #1278,2014-02-02,13,37,25,12,30,46,,,,,,,
Tragerea #1279,2014-02-06,2,14,12,3,25,17,,,,,,,
Tragerea #1280,2014-02-09,1,9,17,20,22,49,,,,,,,
Tragerea #1281,2014-02-13,48,14,12,1,17,23,,,,,,,
Tragerea #1282,2014-02-16,4,49,29,23,31,1,,,,,,,
Tragerea #1283,2014-02-20,10,12,3,48,36,4,,,,,,,
Tragerea #1284,2014-02-23,44,16,27,33,31,11,,,,,,,
Tragerea #1285,2014-02-27,30,34,38,4,6,27,,,,,,,
Tragerea #1286,2014-03-02,24,21,13,37,39,6,,,,,,,
Tragerea #1287,2014-03-06,45,36,11,44,42,16,,,,,,,
Tragerea #1288,2014-03-09,44,11,22,5,15,47,,,,,,,
Tragerea #1289,2014-03-13,1,46,25,27,17,36,,,,,,,
Tragerea #1290,2014-03-16,36,8,22,31,44,12,,,,,,,
Tragerea #1291,2014-03-20,31,6,34,4,44,49,,,,,,,
Tragerea #1292,2014-03-23,23,2,9,18,33,32,,,,,,,
Tragerea #1293,2014-03-27,5,23,13,9,2,4,,,,,,,
Tragerea #1294,2014-03-30,45,33,40,21,35,5,,,,,,,
Tragerea #1295,2014-04-03,10,38,5,7,14,45,,,,,,,
Tragerea #1296,2014-04-06,14,6,33,11,5,49,,,,,,,
Tragerea #1297,2014-04-10,46,49,13,8,43,47,,,,,,,
Tragerea #1298,2014-04-13,15,48,5,8,30,1,,,,,,,
Tragerea #1299,2014-04-20,3,45,26,40,47,32,,,,,,,
Tragerea #1300,2014-04-20,5,3,44,26,42,9,,,,,,,
Tragerea #1301,2014-04-24,18,46,11,41,5,10,,,,,,,
Tragerea #1302,2014-04-27,28,38,23,15,35,3,,,,,,,
Tragerea #1303,2014-05-01,1,25,20,17,22,4,,,,,,,
Tragerea #1304,2014-05-04,44,49,20,30,15,6,,,,,,,
Tragerea #1305,2014-05-08,41,14,48,8,6,49,,,,,,,
Tragerea #1306,2014-05-11,37,43,6,46,17,7,,,,,,,
Tragerea #1307,2014-05-15,35,39,19,47,43,20,,,,,,,
Tragerea #1308,2014-05-18,6,19,47,9,31,36,,,,,,,
Tragerea #1309,2014-05-22,13,33,40,9,12,36,,,,,,,
Tragerea #1310,2014-05-25,43,33,3,44,29,37,,,,,,,
Tragerea #1311,2014-05-29,31,8,2,6,10,19,,,,,,,
Tragerea #1312,2014-06-01,31,44,35,32,7,43,,,,,,,
Tragerea #1313,2014-06-05,8,31,37,49,2,6,,,,,,,
Tragerea #1314,2014-06-08,2,22,30,5,41,27,,,,,,,
Tragerea #1315,2014-06-12,49,21,17,32,34,11,,,,,,,
Tragerea #1316,2014-06-15,17,23,43,1,28,47,,,,,,,
Tragerea #1317,2014-06-19,28,40,19,4,41,14,,,,,,,
Tragerea #1318,2014-06-22,24,11,14,44,41,16,,,,,,,
Tragerea #1319,2014-06-26,25,10,44,27,31,11,,,,,,,
Tragerea #1320,2014-06-29,35,18,12,2,17,7,,,,,,,
Tragerea #1321,2014-07-03,38,28,31,15,6,32,,,,,,,
Tragerea #1322,2014-07-06,39,11,21,13,47,30,,,,,,,
Tragerea #1323,2014-07-10,30,34,11,40,33,19,,,,,,,
Tragerea #1324,2014-07-13,13,26,33,27,31,21,,,,,,,
Tragerea #1325,2014-07-17,44,25,2,29,46,45,,,,,,,
Tragerea #1326,2014-07-20,5,12,38,2,14,48,,,,,,,
Tragerea #1327,2014-07-24,20,34,15,7,3,17,,,,,,,
Tragerea #1328,2014-07-27,48,11,45,12,30,32,,,,,,,
Tragerea #1329,2014-07-31,33,28,19,9,17,10,,,,,,,
Tragerea #1330,2014-08-03,4,29,47,1,30,43,,,,,,,
Tragerea #1331,2014-08-07,23,3,13,25,19,32,,,,,,,
Tragerea #1332,2014-08-10,31,37,27,47,22,45,,,,,,,
Tragerea #1333,2014-08-14,8,37,13,25,36,21,,,,,,,
Tragerea #1334,2014-08-17,15,1,35,17,11,21,,,,,,,
Tragerea #1335,2014-08-21,40,32,45,24,48,26,,,,,,,
Tragerea #1336,2014-08-24,21,45,19,38,27,18,,,,,,,
Tragerea #1337,2014-08-28,21,34,4,49,9,46,,,,,,,
Tragerea #1338,2014-08-31,40,33,29,27,13,39,,,,,,,
Tragerea #1339,2014-09-04,8,22,48,27,21,16,,,,,,,
Tragerea #1340,2014-09-07,28,3,22,45,39,26,,,,,,,
Tragerea #1341,2014-09-14,28,11,14,29,13,33,,,,,,,
Tragerea #1342,2014-09-14,19,44,22,23,12,32,,,,,,,
Tragerea #1343,2014-09-18,26,41,4,46,30,16,,,,,,,
Tragerea #1344,2014-09-21,19,42,1,32,33,47,,,,,,,
Tragerea #1345,2014-09-25,25,23,38,46,27,5,,,,,,,
Tragerea #1346,2014-09-28,11,24,19,4,41,20,,,,,,,
Tragerea #1347,2014-10-02,15,49,28,25,23,47,,,,,,,
Tragerea #1348,2014-10-05,12,22,15,31,25,32,,,,,,,
Tragerea #1349,2014-10-09,41,5,48,43,21,32,,,,,,,
Tragerea #1350,2014-10-12,23,49,17,45,32,24,,,,,,,
Tragerea #1351,2014-10-16,29,17,1,46,25,31,,,,,,,
Tragerea #1352,2014-10-19,13,19,25,1,15,6,,,,,,,
Tragerea #1353,2014-10-23,28,47,38,31,9,40,,,,,,,
Tragerea #1354,2014-10-26,33,26,49,22,12,2,,,,,,,
Tragerea #1355,2014-10-30,45,5,39,30,24,46,,,,,,,
Tragerea #1356,2014-11-02,42,39,48,33,24,41,,,,,,,
Tragerea #1357,2014-11-06,20,11,16,36,15,49,,,,,,,
Tragerea #1358,2014-11-09,4,36,6,46,32,44,,,,,,,
Tragerea #1359,2014-11-13,30,42,23,16,8,39,,,,,,,
Tragerea #1360,2014-11-16,30,22,17,6,18,28,,,,,,,
Tragerea #1361,2014-11-20,40,36,19,2,18,12,,,,,,,
Tragerea #1362,2014-11-23,2,11,32,34,38,28,,,,,,,
Tragerea #1363,2014-11-27,23,22,36,6,20,33,,,,,,,
Tragerea #1364,2014-11-30,12,34,17,16,20,15,,,,,,,
Tragerea #1365,2014-12-04,46,29,35,44,2,4,,,,,,,
Tragerea #1366,2014-12-07,47,6,28,36,1,20,,,,,,,
Tragerea #1367,2014-12-11,34,35,1,5,36,47,,,,,,,
Tragerea #1368,2014-12-14,17,49,22,10,45,33,,,,,,,
Tragerea #1369,2014-12-18,2,24,39,16,4,10,,,,,,,
Tragerea #1370,2014-12-21,40,28,5,12,19,44,,,,,,,
Tragerea #1371,2014-12-30,39,36,47,6,1,3,,,,,,,
Tragerea #1372,2014-12-30,22,16,47,34,48,20,,,,,,,
Tragerea #1373,2015-01-11,45,16,3,9,34,13,,,,,,,
Tragerea #1374,2015-01-15,25,23,45,18,11,36,,,,,,,
Tragerea #1375,2015-01-18,35,1,15,27,3,14,,,,,,,
Tragerea #1376,2015-01-22,41,36,4,15,32,20,,,,,,,
Tragerea #1377,2015-01-25,35,5,16,25,36,9,,,,,,,
Tragerea #1378,2015-01-29,13,28,46,35,44,39,,,,,,,
Tragerea #1379,2015-02-01,10,27,2,41,45,37,,,,,,,
Tragerea #1380,2015-02-05,24,8,3,26,21,25,,,,,,,
Tragerea #1381,2015-02-08,19,29,5,34,41,2,,,,,,,
Tragerea #1382,2015-02-12,9,25,5,35,40,33,,,,,,,
Tragerea #1383,2015-02-15,25,28,9,45,34,43,,,,,,,
Tragerea #1384,2015-02-19,43,42,18,2,16,15,,,,,,,
Tragerea #1385,2015-02-22,40,18,7,29,33,14,,,,,,,
Tragerea #1386,2015-02-26,46,25,42,23,26,16,,,,,,,
Tragerea #1387,2015-03-01,9,46,34,11,18,35,,,,,,,
Tragerea #1388,2015-03-01,21,15,27,37,29,14,,,,,,,
Tragerea #1389,2015-03-05,8,48,22,2,41,27,,,,,,,
Tragerea #1390,2015-03-08,3,8,11,26,48,46,,,,,,,
Tragerea #1391,2015-03-12,16,1,47,25,26,15,,,,,,,
Tragerea #1392,2015-03-15,43,17,34,35,47,3,,,,,,,
Tragerea #1393,2015-03-19,6,23,7,30,21,46,,,,,,,
Tragerea #1394,2015-03-22,46,36,45,7,35,13,,,,,,,
Tragerea #1395,2015-03-26,2,45,27,4,38,48,,,,,,,
Tragerea #1396,2015-03-29,22,10,4,6,18,9,,,,,,,
Tragerea #1397,2015-04-02,11,38,36,1,27,16,,,,,,,
Tragerea #1398,2015-04-05,33,5,30,44,4,27,,,,,,,
Tragerea #1399,2015-04-09,18,36,32,49,29,6,,,,,,,
Tragerea #1400,2015-04-12,15,44,16,19,31,23,,,,,,,
Tragerea #1401,2015-04-12,18,25,45,23,27,40,,,,,,,
Tragerea #1402,2015-04-16,26,42,45,8,1,5,,,,,,,
Tragerea #1403,2015-04-19,32,44,21,38,35,16,,,,,,,
Tragerea #1404,2015-04-23,1,18,10,30,17,44,,,,,,,
Tragerea #1405,2015-04-26,46,29,30,1,10,2,,,,,,,
Tragerea #1406,2015-04-30,43,19,27,11,14,46,,,,,,,
Tragerea #1407,2015-05-03,45,8,5,37,19,1,,,,,,,
Tragerea #1408,2015-05-07,3,48,14,47,9,16,,,,,,,
Tragerea #1409,2015-05-10,4,25,6,17,48,14,,,,,,,
Tragerea #1410,2015-05-14,30,21,38,33,8,11,,,,,,,
Tragerea #1411,2015-05-17,16,19,48,25,32,10,,,,,,,
Tragerea #1412,2015-05-21,34,1,17,10,39,18,,,,,,,
Tragerea #1413,2015-05-24,32,25,45,43,40,2,,,,,,,
Tragerea #1414,2015-05-28,46,41,12,44,39,22,,,,,,,
Tragerea #1415,2015-05-31,14,35,29,8,23,21,,,,,,,
Tragerea #1416,2015-06-04,24,38,26,28,7,17,,,,,,,
Tragerea #1417,2015-06-07,47,30,45,37,12,17,,,,,,,
Tragerea #1418,2015-06-11,32,17,46,5,48,33,,,,,,,
Tragerea #1419,2015-06-14,28,23,24,45,10,37,,,,,,,
Tragerea #1420,2015-06-18,38,37,1,33,41,15,,,,,,,
Tragerea #1421,2015-06-21,11,34,1,7,37,18,,,,,,,
Tragerea #1422,2015-06-25,18,37,8,43,26,45,,,,,,,
Tragerea #1423,2015-06-28,38,6,36,22,48,47,,,,,,,
Tragerea #1424,2015-07-02,36,30,20,4,5,10,,,,,,,
Tragerea #1425,2015-07-05,27,4,47,15,10,41,,,,,,,
Tragerea #1426,2015-07-09,19,17,5,2,41,28,,,,,,,
Tragerea #1427,2015-07-12,45,13,15,32,2,23,,,,,,,
Tragerea #1428,2015-07-16,43,48,31,33,24,45,,,,,,,
Tragerea #1429,2015-07-19,37,33,10,43,49,40,,,,,,,
Tragerea #1430,2015-07-23,16,48,46,36,42,26,,,,,,,
Tragerea #1431,2015-07-26,48,43,38,6,10,36,,,,,,,
Tragerea #1432,2015-07-30,34,25,44,18,39,24,,,,,,,
Tragerea #1433,2015-08-02,1,27,14,23,30,40,,,,,,,
Tragerea #1434,2015-08-06,35,16,14,7,46,40,,,,,,,
Tragerea #1435,2015-08-09,29,15,21,46,36,18,,,,,,,
Tragerea #1436,2015-08-13,16,10,14,24,3,6,,,,,,,
Tragerea #1437,2015-08-16,11,8,44,10,46,35,,,,,,,
Tragerea #1438,2015-08-20,26,41,38,18,4,36,,,,,,,
Tragerea #1439,2015-08-23,16,28,17,43,20,36,,,,,,,
Tragerea #1440,2015-08-27,23,5,26,42,17,34,,,,,,,
Tragerea #1441,2015-08-30,44,48,1,34,2,25,,,,,,,
Tragerea #1442,2015-09-03,15,10,26,9,6,47,,,,,,,
Tragerea #1443,2015-09-06,38,3,12,16,28,18,,,,,,,
Tragerea #1444,2015-09-13,28,40,3,17,34,49,,,,,,,
Tragerea #1445,2015-09-13,22,21,18,17,41,8,,,,,,,
Tragerea #1446,2015-09-17,32,3,28,14,8,29,,,,,,,
Tragerea #1447,2015-09-20,48,34,20,27,47,2,,,,,,,
Tragerea #1448,2015-09-24,49,31,38,44,14,10,,,,,,,
Tragerea #1449,2015-09-27,26,1,32,18,12,7,,,,,,,
Tragerea #1450,2015-10-01,11,2,38,32,41,30,,,,,,,
Tragerea #1451,2015-10-04,31,1,36,39,24,14,,,,,,,
Tragerea #1452,2015-10-08,33,18,6,42,37,35,,,,,,,
Tragerea #1453,2015-10-11,30,44,27,29,28,45,,,,,,,
Tragerea #1454,2015-10-15,14,45,46,9,22,8,,,,,,,
Tragerea #1455,2015-10-18,10,17,47,11,12,23,,,,,,,
Tragerea #1456,2015-10-22,44,3,24,1,49,2,,,,,,,
Tragerea #1457,2015-10-25,31,9,7,17,10,47,,,,,,,
Tragerea #1458,2015-10-29,2,12,26,19,37,25,,,,,,,
Tragerea #1459,2015-11-01,11,21,20,8,41,34,,,,,,,
Tragerea #1460,2015-11-05,45,41,47,42,40,10,,,,,,,
Tragerea #1461,2015-11-08,13,16,32,7,10,36,,,,,,,
Tragerea #1462,2015-11-12,44,2,13,39,12,19,,,,,,,
Tragerea #1463,2015-11-15,29,10,2,30,3,18,,,,,,,
Tragerea #1464,2015-11-19,31,3,10,47,25,8,,,,,,,
Tragerea #1465,2015-11-22,14,43,23,21,33,16,,,,,,,
Tragerea #1466,2015-11-26,21,46,26,32,3,35,,,,,,,
Tragerea #1467,2015-11-29,5,28,26,35,12,47,,,,,,,
Tragerea #1468,2015-12-03,10,13,37,44,14,46,,,,,,,
Tragerea #1469,2015-12-06,26,49,9,20,48,6,,,,,,,
Tragerea #1470,2015-12-10,41,1,20,46,36,14,,,,,,,
Tragerea #1471,2015-12-13,32,25,11,21,14,38,,,,,,,
Tragerea #1472,2015-12-17,46,26,11,19,28,6,,,,,,,
Tragerea #1473,2015-12-20,8,18,44,27,2,13,,,,,,,
Tragerea #1474,2015-12-30,10,15,18,47,34,48,,,,,,,
Tragerea #1475,2015-12-30,8,35,4,28,40,22,,,,,,,
Tragerea #1476,2016-01-07,34,26,36,29,11,25,,,,,,,
Tragerea #1477,2016-01-10,41,16,14,8,29,47,,,,,,,
Tragerea #1478,2016-01-14,45,41,38,46,23,33,,,,,,,
Tragerea #1479,2016-01-17,21,20,9,5,2,14,,,,,,,
Tragerea #1480,2016-01-21,17,13,5,1,20,9,,,,,,,
Tragerea #1481,2016-01-24,43,39,4,28,20,5,,,,,,,
Tragerea #1482,2016-01-28,11,35,13,1,33,14,,,,,,,
Tragerea #1483,2016-01-31,28,6,49,18,9,36,,,,,,,
Tragerea #1484,2016-02-04,42,47,44,45,6,24,,,,,,,
Tragerea #1485,2016-02-07,36,29,4,1,45,42,,,,,,,
Tragerea #1486,2016-02-11,32,40,9,31,21,28,,,,,,,
Tragerea #1487,2016-02-14,23,46,8,11,48,13,,,,,,,
Tragerea #1488,2016-02-18,33,5,4,18,16,8,,,,,,,
Tragerea #1489,2016-02-21,47,21,1,40,31,39,,,,,,,
Tragerea #1490,2016-02-25,15,34,31,37,6,24,,,,,,,
Tragerea #1491,2016-02-28,25,4,19,41,20,36,,,,,,,
Tragerea #1492,2016-03-03,16,38,19,27,41,45,,,,,,,
Tragerea #1493,2016-03-06,29,8,2,34,46,37,,,,,,,
Tragerea #1494,2016-03-06,41,14,49,25,2,44,,,,,,,
Tragerea #1495,2016-03-10,26,28,44,46,3,45,,,,,,,
Tragerea #1496,2016-03-13,3,21,45,19,4,29,,,,,,,
Tragerea #1497,2016-03-17,40,13,45,9,43,41,,,,,,,
Tragerea #1498,2016-03-20,4,5,30,23,36,1,,,,,,,
Tragerea #1499,2016-03-24,15,21,24,47,16,18,,,,,,,
Tragerea #1500,2016-03-27,2,3,24,40,6,43,,,,,,,
Tragerea #1501,2016-03-31,21,11,44,43,32,5,,,,,,,
Tragerea #1502,2016-04-03,36,6,34,13,47,49,,,,,,,
Tragerea #1503,2016-04-07,20,26,39,25,14,21,,,,,,,
Tragerea #1504,2016-04-10,35,42,17,41,28,33,,,,,,,
Tragerea #1505,2016-04-14,9,44,5,16,31,10,,,,,,,
Tragerea #1506,2016-04-17,9,15,12,27,44,46,,,,,,,
Tragerea #1507,2016-04-21,18,47,5,14,46,6,,,,,,,
Tragerea #1508,2016-04-24,6,15,42,43,45,32,,,,,,,
Tragerea #1509,2016-05-01,16,40,9,36,37,43,,,,,,,
Tragerea #1510,2016-05-01,22,23,11,39,42,8,,,,,,,
Tragerea #1511,2016-05-05,39,5,19,13,15,32,,,,,,,
Tragerea #1512,2016-05-08,48,17,34,25,14,5,,,,,,,
Tragerea #1513,2016-05-12,3,37,6,22,2,10,,,,,,,
Tragerea #1514,2016-05-15,24,4,42,25,37,20,,,,,,,
Tragerea #1515,2016-05-19,24,7,34,2,9,37,,,,,,,
Tragerea #1516,2016-05-22,30,13,1,42,34,19,,,,,,,
Tragerea #1517,2016-05-26,1,43,21,45,26,20,,,,,,,
Tragerea #1518,2016-05-29,11,48,3,19,10,5,,,,,,,
Tragerea #1519,2016-06-02,13,27,37,8,23,12,,,,,,,
Tragerea #1520,2016-06-05,39,7,4,13,36,22,,,,,,,
Tragerea #1521,2016-06-09,30,42,44,18,10,31,,,,,,,
Tragerea #1522,2016-06-12,27,20,25,46,22,11,,,,,,,
Tragerea #1523,2016-06-16,30,16,4,9,13,2,,,,,,,
Tragerea #1524,2016-06-19,25,35,30,4,11,14,,,,,,,
Tragerea #1525,2016-06-23,24,7,46,35,3,27,,,,,,,
Tragerea #1526,2016-06-26,24,43,1,25,46,22,,,,,,,
Tragerea #1527,2016-06-30,1,27,34,49,14,6,,,,,,,
Tragerea #1528,2016-07-03,42,25,38,22,27,15,,,,,,,
Tragerea #1529,2016-07-07,15,31,26,4,42,17,,,,,,,
Tragerea #1530,2016-07-10,9,38,45,21,20,5,,,,,,,
Tragerea #1531,2016-07-14,22,31,34,47,10,49,,,,,,,
Tragerea #1532,2016-07-17,12,26,9,45,4,47,,,,,,,
Tragerea #1533,2016-07-21,2,41,42,6,39,12,,,,,,,
Tragerea #1534,2016-07-24,24,16,28,21,6,33,,,,,,,
Tragerea #1535,2016-07-28,42,44,10,3,33,27,,,,,,,
Tragerea #1536,2016-07-31,38,32,31,49,3,4,,,,,,,
Tragerea #1537,2016-08-04,16,42,2,6,46,30,,,,,,,
Tragerea #1538,2016-08-07,7,5,36,41,4,32,,,,,,,
Tragerea #1539,2016-08-11,14,4,19,49,34,38,,,,,,,
Tragerea #1540,2016-08-14,47,3,49,6,7,24,,,,,,,
Tragerea #1541,2016-08-18,6,44,1,4,19,8,,,,,,,
Tragerea #1542,2016-08-21,38,17,5,11,36,13,,,,,,,
Tragerea #1543,2016-08-25,6,11,25,9,12,1,,,,,,,
Tragerea #1544,2016-08-28,48,6,4,30,13,26,,,,,,,
Tragerea #1545,2016-09-01,19,26,45,25,22,3,,,,,,,
Tragerea #1546,2016-09-04,41,13,21,43,45,28,,,,,,,
Tragerea #1547,2016-09-08,40,39,14,46,7,41,,,,,,,
Tragerea #1548,2016-09-11,34,21,25,14,46,43,,,,,,,
Tragerea #1549,2016-09-15,22,18,5,28,29,15,,,,,,,
Tragerea #1550,2016-09-18,18,19,35,23,45,13,,,,,,,
Tragerea #1551,2016-09-18,22,47,15,14,41,2,,,,,,,
Tragerea #1552,2016-09-22,33,25,30,17,13,31,,,,,,,
Tragerea #1553,2016-09-25,11,25,43,42,30,23,,,,,,,
Tragerea #1554,2016-09-29,32,43,40,44,2,26,,,,,,,
Tragerea #1555,2016-10-02,27,23,2,44,48,38,,,,,,,
Tragerea #1556,2016-10-06,21,10,40,23,3,38,,,,,,,
Tragerea #1557,2016-10-09,9,10,27,5,38,33,,,,,,,
Tragerea #1558,2016-10-13,16,7,26,25,31,13,,,,,,,
Tragerea #1559,2016-10-16,19,42,22,18,43,20,,,,,,,
Tragerea #1560,2016-10-20,11,36,7,31,19,12,,,,,,,
Tragerea #1561,2016-10-23,12,31,46,17,6,5,,,,,,,
Tragerea #1562,2016-10-27,6,35,3,1,43,42,,,,,,,
Tragerea #1563,2016-10-30,16,37,7,33,28,36,,,,,,,
Tragerea #1564,2016-11-03,7,19,22,6,5,45,,,,,,,
Tragerea #1565,2016-11-06,15,11,41,14,9,42,,,,,,,
Tragerea #1566,2016-11-10,35,44,17,10,22,18,,,,,,,
Tragerea #1567,2016-11-13,21,35,46,20,5,31,,,,,,,
Tragerea #1568,2016-11-17,17,42,39,30,36,4,,,,,,,
Tragerea #1569,2016-11-20,2,42,1,44,19,8,,,,,,,
Tragerea #1570,2016-11-24,17,15,19,11,7,9,,,,,,,
Tragerea #1571,2016-11-27,29,32,43,30,21,4,,,,,,,
Tragerea #1572,2016-12-04,34,23,1,18,5,11,,,,,,,
Tragerea #1573,2016-12-08,38,9,24,10,7,4,,,,,,,
Tragerea #1574,2016-12-11,36,18,41,24,23,10,,,,,,,
Tragerea #1575,2016-12-15,49,4,44,37,7,31,,,,,,,
Tragerea #1576,2016-12-18,17,3,38,44,20,40,,,,,,,
Tragerea #1577,2016-12-22,4,18,32,21,17,34,,,,,,,
Tragerea #1578,2016-12-31,23,22,43,8,9,27,,,,,,,
Tragerea #1579,2016-12-31,42,15,34,43,48,39,,,,,,,
Tragerea #1580,2017-01-05,25,49,42,29,5,24,,,,,,,
Tragerea #1581,2017-01-08,16,5,18,28,43,30,,,,,,,
Tragerea #1582,2017-01-12,16,30,1,23,20,8,,,,,,,
Tragerea #1583,2017-01-15,7,30,16,39,23,5,,,,,,,
Tragerea #1584,2017-01-19,23,45,12,25,2,10,,,,,,,
Tragerea #1585,2017-01-22,24,16,38,27,11,3,,,,,,,
Tragerea #1586,2017-01-26,33,27,2,40,42,20,,,,,,,
Tragerea #1587,2017-01-29,38,27,49,17,13,44,,,,,,,
Tragerea #1588,2017-02-02,40,6,27,5,25,49,,,,,,,
Tragerea #1589,2017-02-05,25,10,34,15,36,39,,,,,,,
Tragerea #1590,2017-02-09,20,37,8,31,27,9,,,,,,,
Tragerea #1591,2017-02-12,7,5,8,25,37,6,,,,,,,
Tragerea #1592,2017-02-16,22,17,4,42,30,3,,,,,,,
Tragerea #1593,2017-02-19,37,30,27,38,17,45,,,,,,,
Tragerea #1594,2017-02-23,18,23,36,7,47,8,,,,,,,
Tragerea #1595,2017-02-26,22,31,30,4,42,39,,,,,,,
Tragerea #1596,2017-03-02,24,38,48,11,12,29,,,,,,,
Tragerea #1597,2017-03-05,43,14,49,23,3,6,,,,,,,
Tragerea #1598,2017-03-05,30,1,16,9,41,34,,,,,,,
Tragerea #1599,2017-03-09,29,43,33,10,27,36,,,,,,,
Tragerea #1600,2017-03-12,20,39,3,5,49,41,,,,,,,
Tragerea #1601,2017-03-16,48,30,46,13,21,29,,,,,,,
Tragerea #1602,2017-03-19,40,45,38,8,11,34,,,,,,,
Tragerea #1603,2017-03-23,11,35,39,4,2,1,,,,,,,
Tragerea #1604,2017-03-26,1,29,41,39,18,46,,,,,,,
Tragerea #1605,2017-03-30,23,31,20,19,38,7,,,,,,,
Tragerea #1606,2017-04-02,48,21,12,9,5,46,,,,,,,
Tragerea #1607,2017-04-06,22,20,2,36,1,8,,,,,,,
Tragerea #1608,2017-04-09,41,32,21,5,4,16,,,,,,,
Tragerea #1609,2017-04-16,8,30,37,11,21,45,,,,,,,
Tragerea #1610,2017-04-16,23,42,21,30,4,12,,,,,,,
Tragerea #1611,2017-04-20,1,21,18,6,31,3,,,,,,,
Tragerea #1612,2017-04-23,13,45,42,14,48,41,,,,,,,
Tragerea #1613,2017-04-27,49,2,19,44,9,35,,,,,,,
Tragerea #1614,2017-04-30,5,40,8,12,38,16,,,,,,,
Tragerea #1615,2017-05-04,13,25,22,15,34,11,,,,,,,
Tragerea #1616,2017-05-07,18,13,21,4,16,11,,,,,,,
Tragerea #1617,2017-05-11,1,32,34,49,24,17,,,,,,,
Tragerea #1618,2017-05-14,1,38,25,2,11,6,,,,,,,
Tragerea #1619,2017-05-18,47,13,6,3,32,17,,,,,,,
Tragerea #1620,2017-05-21,17,32,39,48,43,41,,,,,,,
